WBA06_SO_ET	WBA 6 Sub-tropical ET
WBA06_TH_ET	WBA 6 Tomatoes (hand-picked) ET
WBA06_TM_ET	WBA 6 Tomatoes (machine-picked) ET
WBA06_TR_ET	WBA 6 Other truck ET
WBA06_UR_ET	WBA 6 Urban ET
WBA06_VI_ET	WBA 6 Vineyards ET
WBA07N	WBA 7N Reference ET
WBA07N_AL_ET	WBA 7N Alfalfa ET
WBA07N_AP_ET	WBA 7N Almonds and pistachios ET
WBA07N_CO_ET	WBA 7N Cotton ET
WBA07N_CR_ET	WBA 7N Corn ET
WBA07N_CU_ET	WBA 7N Cucurbits ET
WBA07N_DB_ET	WBA 7N Dry beans ET
WBA07N_FI_ET	WBA 7N Other field crops ET
WBA07N_GR_ET	WBA 7N Grain ET
WBA07N_ID_ET	WBA07N_ID_ET
WBA07N_NV_ET	WBA 7N Native vegetation ET
WBA07N_OG_ET	WBA 7N Onions and garlic ET
WBA07N_OR_ET	WBA 7N Other deciduous ET
WBA07N_PA_ET	WBA 7N Pasture ET
WBA07N_PO_ET	WBA 7N Potatoes ET
WBA07N_RF_ET	WBA07N_RF_ET
WBA07N_RI_ET	WBA 7N Rice ET
WBA07N_RV_ET	WBA07N_RV_ET
WBA07N_SB_ET	WBA 7N Sugar beets ET
WBA07N_SF_ET	WBA 7N Safflower ET
WBA07N_SL_ET	WBA07N_SL_ET
WBA07N_SO_ET	WBA 7N Sub-tropical ET
WBA07N_TH_ET	WBA 7N Tomatoes (hand-picked) ET
WBA07N_TM_ET	WBA 7N Tomatoes (machine-picked) ET
WBA07N_TR_ET	WBA 7N Other truck ET
WBA07N_UR_ET	WBA 7N Urban ET
WBA07N_VI_ET	WBA 7N Vineyards ET
WBA07S	WBA 7S Reference ET
WBA07S_AL_ET	WBA 7S Alfalfa ET
WBA07S_AP_ET	WBA 7S Almonds and pistachios ET
WBA07S_CO_ET	WBA 7S Cotton ET
WBA07S_CR_ET	WBA 7S Corn ET
WBA07S_CU_ET	WBA 7S Cucurbits ET
WBA07S_DB_ET	WBA 7S Dry beans ET
WBA07S_FI_ET	WBA 7S Other field crops ET
WBA07S_GR_ET	WBA 7S Grain ET
WBA07S_ID_ET	WBA07S_ID_ET
WBA07S_NV_ET	WBA 7S Native vegetation ET
WBA07S_OG_ET	WBA 7S Onions and garlic ET
WBA07S_OR_ET	WBA 7S Other deciduous ET
WBA07S_PA_ET	WBA 7S Pasture ET
WBA07S_PO_ET	WBA 7S Potatoes ET
WBA07S_RF_ET	WBA07S_RF_ET
WBA07S_RI_ET	WBA 7S Rice ET
WBA07S_RV_ET	WBA07S_RV_ET
WBA07S_SB_ET	WBA 7S Sugar beets ET
WBA07S_SF_ET	WBA 7S Safflower ET
WBA07S_SL_ET	WBA07S_SL_ET
WBA07S_SO_ET	WBA 7S Sub-tropical ET
WBA07S_TH_ET	WBA 7S Tomatoes (hand-picked) ET
WBA07S_TM_ET	WBA 7S Tomatoes (machine-picked) ET
WBA07S_TR_ET	WBA 7S Other truck ET
WBA07S_UR_ET	WBA 7S Urban ET
WBA07S_VI_ET	WBA 7S Vineyards ET
WBA08N	WBA 8N Reference ET
WBA08N_AL_ET	WBA 8N Alfalfa ET
WBA08N_AP_ET	WBA 8N Almonds and pistachios ET
WBA08N_CO_ET	WBA 8N Cotton ET
WBA08N_CR_ET	WBA 8N Corn ET
WBA08N_CU_ET	WBA 8N Cucurbits ET
WBA08N_DB_ET	WBA 8N Dry beans ET
WBA08N_FI_ET	WBA 8N Other field crops ET
WBA08N_GR_ET	WBA 8N Grain ET
WBA08N_ID_ET	WBA08N_ID_ET
WBA08N_NV_ET	WBA 8N Native vegetation ET
WBA08N_OG_ET	WBA 8N Onions and garlic ET
WBA08N_OR_ET	WBA 8N Other deciduous ET
WBA08N_PA_ET	WBA 8N Pasture ET
WBA08N_PO_ET	WBA 8N Potatoes ET
WBA08N_RF_ET	WBA08N_RF_ET
WBA08N_RI_ET	WBA 8N Rice ET
WBA08N_RV_ET	WBA08N_RV_ET
WBA08N_SB_ET	WBA 8N Sugar beets ET
WBA08N_SF_ET	WBA 8N Safflower ET
